"Observer","Date","Year","TimeInitial","TimeFinal","DiveNumber_Transect","Country","Site","Location","Zone","DepthInitial_m","DepthFinal_m","DepthMax_m","Latitude","Longitude","Temperature_C","Visibility_m","Genusspecies","Patch","Diameter_cm","Abundance","Condition","Diameter_cm_Corrected"
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,12,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,12,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,12,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,12,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,12,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,12,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,12,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,12,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,12,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,16,"1","",13
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,16,"1","",13
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,16,"1","",13
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,16,"1","",13
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,16,"1","",13
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,16,"1","",13
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,16,"1","",13
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,17,"1","",13
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,17,"1","",13
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,17,"1","",13
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,17,"1","",13
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,17,"1","",13
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,17,"1","",13
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,17,"1","",13
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,17,"1","",13
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,17,"1","",13
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,17,"1","",13
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",13,13,13,"27.84505",-115.14556,"",NA,"Haliotiscorrugata",NA,18,"1","",14
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",14,13,13,"27.84505",-115.14556,"",NA,"Haliotisfulgens",NA,13,"1","",10
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",14,13,13,"27.84505",-115.14556,"",NA,"Haliotisfulgens",NA,19,"1","",15
"RobertoVazquez","8/18/06","2006","10:35","11:28","1","Mexico","IslaNatividad","LaDulce","Fished",14,13,13,"27.84505",-115.14556,"",NA,"Haliotisfulgens",NA,21,"1","",16
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,4,"1","",4
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,4,"1","",4
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,4,"1","",4
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,6,"1","",5
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,6,"1","",5
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,6,"1","",5
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,6,"1","",5
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,6,"1","",5
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,6,"1","",5
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,6,"1","",5
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,7,"1","",6
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,7,"1","",6
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,7,"1","",6
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,8,"1","",7
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,8,"1","",7
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,8,"1","",7
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,8,"1","",7
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,8,"1","",7
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,8,"1","",7
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,8,"1","",7
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,8,"1","",7
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,8,"1","",7
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,9,"1","",8
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,9,"1","",8
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,10,"1","",8
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,10,"1","",8
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,10,"1","",8
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,11,"1","",9
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,11,"1","",9
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,11,"1","",9
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,11,"1","",9
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,12,"1","",10
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,12,"1","",10
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,12,"1","",10
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,12,"1","",10
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,12,"1","",10
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,12,"1","",10
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,12,"1","",10
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,13,"1","",10
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,14,"1","",11
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,15,"1","",12
"RobertoVazquez","8/14/06","2006","10:46","11:48","1","Mexico","IslaNatividad","LaPlana","Reserve",10,4,10,"27.8484",-115.16056,"15",NA,"Haliotiscorrugata",NA,15,"1","",12
